rowIdZuellig,codeZuellig,rowIdLynXCRM,codeLynXCRM,distance
514,202144,548,0011i000001xnUw,0
515,202158,1464,0011i000001xnL3,0
516,202159,1923,0011i000001xnGD,110
517,202160,796,0011i000001xmhw,0
518,202162,1843,0011i000001xnDL,60
519,202165,554,0011i00000k1W9i,0
520,202172,1706,0011i000001xnYm,0
521,202175,586,0011i000001xmxm,0
522,202176,554,0011i00000k1W9i,0
523,202178,1674,0011i000001xn8O,0
524,202185,207,0011i000001xmnv,32
525,202186,1502,0011i000001xnZy,262
526,202187,671,0011i000001xmdU,4
527,202188,1329,0011i000001xnPl,0
528,202190,2006,0011i000001xnKr,0
529,202191,1968,0011i000001xnL0,18
530,202195,1833,0011i000001xmbA,114
531,202203,541,0011i000001xnVs,0
532,202204,541,0011i000001xnVs,0
533,202205,850,0011i000001xmiK,0
534,202213,1919,0011i000001xnLy,0
535,202227,812,0011i000001xms2,0
536,202231,451,0011i000001xmfX,0
537,202234,1420,0011i000001xnSU,0
538,202239,1950,0011i000001xnbX,24
539,202243,554,0011i00000k1W9i,0
540,202245,964,0011i000001xmtf,0
541,202257,795,0011i000001xmvN,0
542,202263,830,0011i000001xnFg,19
543,202266,1713,0011i000001xmq4,0
544,202267,894,0011i000001xmv8,0
545,202275,168,0011i000001xnXJ,0
546,202288,1273,0011i000001xnTC,0
547,202290,1360,0011i000001xnQm,142
548,202307,62,0011i000001xnI7,88
549,202309,1227,0011i000001xnR5,0
550,202310,900,0011i000001xmv7,0
551,202315,477,0011i000001xmd4,4
552,202316,971,0011i000001xnJE,0
553,202322,807,0011i000001xmvK,0
554,202337,1593,0011i000001xmfi,6
555,202351,99,0011i000001xna9,60
556,202358,46,0011i000001xmhI,0
557,202361,2042,0011i000001xn6O,0
558,202374,843,0011i000001xms6,0
559,202378,2045,0011i000001xnUN,0
560,202379,1315,0011i000001xnNW,19
561,202391,805,0011i000001xnHl,0
562,202392,796,0011i000001xmhw,0
563,202394,700,0011i000001xnEq,53
564,202402,2052,0011i000001xmzb,47
565,202411,1950,0011i000001xnbX,0
566,202422,61,0011i000001xn60,0
567,202423,2125,0011i000001xn51,0
568,202425,2137,0011i00000llqpQ,109
569,202427,1653,0011i000001xmlz,0
570,202428,1142,0011i000001xmsF,0
571,202430,1810,0011i000001xmkN,0
572,202432,1654,0011i000001xmnA,0
573,202440,1137,0011i000001xmuf,0
574,202444,1962,0011i000001xnCM,188
575,202449,2074,0011i000001xnQh,0
576,202458,540,0011i000001xmsr,0
577,202460,718,0011i000001xn2A,2
578,202464,1601,0011i000001xmuH,18
579,202470,1334,0011i000001xmcy,0
580,202479,1890,0011i000001xnDC,164
581,202486,1760,0011i000001xnXu,0
582,202489,36,0011i000001xn4g,0
583,202493,6,0011i000001xn74,44
584,202496,850,0011i000001xmiK,0
585,202499,23,0011i000001xn1F,28
586,202503,1219,0011i000001xn9t,0
587,202518,540,0011i000001xmsr,0
588,202541,1163,0011i000001xmpV,22
589,202546,1774,0011i000001xn8V,9
590,202550,1612,0011i000001xnMF,0
591,202551,1442,0011i000001xn1u,0
592,202553,92,0011i000001xmpY,0
593,202555,964,0011i000001xmtf,0
594,202561,535,0011i000001xnLq,0
595,202576,909,0011i000001xnJU,0
596,202578,192,0011i000001xncr,0
597,202579,608,0011i000001xmgJ,0
598,202586,551,0011i000001xmp2,0
599,202589,963,0011i000001xmb4,0
600,202590,1169,0011i000001xnFi,15
601,202594,664,0011i000001xmku,0
602,202595,554,0011i00000k1W9i,0
603,202598,1183,0011i000001xn9U,14
604,202612,1884,0011i000001xndH,16
605,202622,1654,0011i000001xmnA,397
606,202623,608,0011i000001xmgJ,0
607,202626,1779,0011i000001xnBJ,0
608,202638,793,0011i000001xn1t,2
609,202650,1959,0011i000001xmbk,0
610,202651,1912,0011i000001xmmo,289
